sid,pmid,pmcid
PKDB00628,12883487,
PKDB00699,15255802,PMC1884585
PKDB00629,9597564,
PKDB00631,7910460,
PKDB00632,31363741,
PKDB00633,31222796,PMC6783597
PKDB00621,26680654,
PKDB00622,27670974,
PKDB00623,28983678,
PKDB00624,9542473,PMC2978967
13674517,13674517,
PKDB00756,21934629,
PKDB00757,465277,PMC1429665
PKDB00758,6873147,
2527546,2527546,PMC1379765
PKDB00759,6716243,
10701815,10701815,
PKDB00760,9737817,
32165665,32165665,PMC7067795
PKDB00573,10340911,
PKDB00574,20881950,
10510150,10510150,PMC2014340
PKDB00575,7423506,
PKDB00576,8841152,
PKDB00577,28512430,PMC5411458
PKDB00578,11214771,
PKDB00579,9840216,
PKDB00580,28271978,
9731719,9731719,
PKDB00499,20147896,PMC2882206
PKDB00496,28808886,PMC5599467
PKDB00596,,
PKDB00581,16930908,
PKDB00380,17532679,
PKDB00690,6407676,PMC1548155
PKDB00528,4029717,PMC1432870
13683228,13683228,
2079531,2079531,
PKDB00751,7062255,
PKDB00777,1932608,
PKDB00754,27137712,
PKDB00527,27517550,
PKDB00720,17203292,
PKDB00634,10832901,
PKDB00636,15841467,
PKDB00637,8120116,
PKDB00688,7625570,
PKDB00689,11804663,
PKDB00641,16397290,
PKDB00642,30916845,
PKDB00643,19326774,
PKDB00639,12534643,PMC1884181
PKDB00640,27300008,
PKDB00761,18333862,PMC2311411
PKDB00856,11762557,
PKDB00744,32297990,PMC7496689
PKDB00763,22133660,
PKDB00764,25319228,PMC4269819
PKDB00766,8737765,
PKDB00739,23512637,
PKDB00738,28087972,PMC5465324
PKDB00737,8448974,
PKDB00711,11510629,
PKDB00519,1499942,
PKDB00692,29492852,
PKDB00742,20363690,
PKDB00693,10930900,
PKDB00713,11214773,
PKDB00714,15578172,
PKDB00379,6468483,
PKDB00520,6428981,PMC1432608
PKDB00715,11465416,
PKDB00716,12132671,
PKDB00522,6832622,PMC1419951
PKDB00717,3742939,
PKDB00691,12895199,PMC1884281
PKDB00718,28378544,PMC5383603
PKDB00523,3880557,
PKDB00743,28649076,
PKDB00521,1458764,
PKDB00526,1527724,
PKDB00719,3460165,
PKDB00583,24151800,
PKDB00584,2015730,
8612385,8612385,
PKDB00585,21050887,
PKDB00586,8873685,
8741125,8741125,
PKDB00896,27495955,PMC5099554
PKDB00587,9429230,
32763846,32763846,
Harris1992,1327657,
Lundholm1963,32441889,PMC7306622
PKDB00900,28566743,PMC5451423
PKDB00901,32498113,
PKDB00944,34123370,PMC8167502
PKDB00916,23328275,
PKDB00915,23356556,
PKDB00996,33953542,PMC8089085
29655290,29655290,PMC6099360
PKDB00995,32799565,
23497760,23497760,
PKDB01002,24491572,
PKDB00938,23859534,
PKDB00940,26138865,
26051874,26051874,
PKDB00941,23149871,
PKDB00932,26101175,
8988072,8988072,
8690818,8690818,
10460065,10460065,
29403866,29403866,PMC5761050
8877677,8877677,
8568017,8568017,
28331967,28331967,
4127645,4127645,
4138107,4138107,
14982753,14982753,
6041196,6041196,
9439539,9439539,
4816891,4816891,
6368593,6368593,PMC425102
6141519,6141519,
4552828,4552828,
Cobelli1982,,
2691176,2691176,
4823929,4823929,
856672,856672,PMC1411287
659633,659633,PMC371754
371342,371342,
956401,956401,PMC333235
2721118,2721118,
31693916,31693916,
4430704,4430704,
1113681,1113681,
3514335,3514335,
8622603,8622603,
908472,908472,
1133173,1133173,PMC301883
11986393,11986393,PMC2290270
12540611,12540611,
19094067,19094067,
3722329,3722329,
12200754,12200754,
3971846,3971846,
3522621,3522621,
9792543,9792543,
1154379,1154379,
170711,170711,
9272591,9272591,
5957477,5957477,
1895958,1895958,
3519643,3519643,
18853232,18853232,
8852486,8852486,
3546378,3546378,PMC424197
11872673,11872673,
10444424,10444424,
4856884,4856884,PMC302637
1246330,1246330,
6280266,6280266,
1551497,1551497,
7009366,7009366,
12189441,12189441,
16702313,16702313,
833277,833277,PMC333360
4593614,4593614,
PKDB00087,3624411,
PKDB00811,34355621,PMC8354182
PKDB00748,9061473,
PKDB01061,9215971,
PKDB01069,,
PKDB01088,6757410,
PKDB00816,3297733,
PKDB01063,9498669,
PKDB00822,9696583,
PKDB01064,6803565,
PKDB00823,8910853,
PKDB01065,8681492,
PKDB01067,9368913,
PKDB01068,2077146,
PKDB00831,17145205,
PKDB00832,6324834,PMC1463370
PKDB00833,15862687,
PKDB00834,9803987,PMC1874154
PKDB00837,19559901,
PKDB00768,6289859,PMC1427615
PKDB00769,28894622,PMC5574226
PKDB00770,3034316,PMC1386089
PKDB00771,2154407,
PKDB00746,21341376,
PKDB00747,15556550,
PKDB00774,24721587,
PKDB00750,2468049,
PKDB00779,3004546,PMC1400811
PKDB00780,12772271,
PKDB00782,2998676,
PKDB00745,19046843,
PKDB00786,27129124,
PKDB00787,1310827,
PKDB00788,14520685,
PKDB00793,8839663,
PKDB00797,28639420,
PKDB00798,8582461,
PKDB00799,6097665,
PKDB00800,25919042,PMC4631185
PKDB00801,15797799,
PKDB00802,6091806,
PKDB00803,17244777,
PKDB00805,31411383,
PKDB00806,1312853,PMC1381301
12771613,12771613,
PKDB00807,1647954,
PKDB00809,8394796,
3356089,3356089,
PKDB00838,22823746,PMC3575942
PKDB00959,202293102002,
PKDB00970,202293102006,
PKDB00971,202293102007,
PKDB00840,23851069,
PKDB00893,23307267,PMC3687097
PKDB00913,31992459,
PKDB00842,21226818,
PKDB00843,21435141,
PKDB00925,22271159,
PKDB00845,23061428,
PKDB00926,29548719,
PKDB00927,37113469,PMC10128151
PKDB00928,37034122,PMC10079507
PKDB00846,19129748,
PKDB00847,27418571,
PKDB00849,30517974,
PKDB00850,30499157,PMC6590304
PKDB00851,23910664,
PVLDrugs,PVLDrugs,
PKDB00650,12058342,
PKDB00511,14579918,PMC6653833
PKDB00373,8138261,
PKDB00997,10404959,
PKDB00895,21841812,PMC4010224
PKDB00976,7685442,
PKDB00953,24218006,
PKDB00965,,
PKDB00909,19221727,
PKDB00919,33509019,
PKDB00920,18445991,
PKDB00912,19604036,
PKDB00922,8529329,
PKDB00921,1587065,
PKDB00911,8471405,PMC1381577
PKDB00961,14504849,
PKDB00910,18800456,
PKDB00890,25268802,PMC4182631
PKDB00897,11823761,
PKDB00891,25421015,PMC6680204
PKDB00898,33249530,
PKDB00966,,
