population,administered_substance,count
"PKDB00136 / all (n=4; human; healthy; sex: M=4)","omeprazole",1
"PKDB00140 / control (n=12; human; healthy; sex: M=12, M=12)","cimetidine",1
"PKDB00140 / control (n=12; human; healthy; sex: M=12, M=12)","paracetamol",1
"PKDB00140 / control (n=12; human; healthy; sex: M=12, M=12)","sulfinpyrazone",1
"PKDB00140 / epileptic patients (n=6; human; healthy; sex: NR=6; age: mean 26 year; weight: mean 73.7 kilogram; smoking: Y=1, N=5)","paracetamol",2
"PKDB00140 / nonsmokers (n=6; human; healthy; sex: M=12, M=12; age: mean 25.3 year; weight: mean 76 kilogram; smoking: N=6)","paracetamol",1
"PKDB00140 / smokers (n=6; human; healthy; sex: M=12, M=12; age: mean 25.8 year; weight: mean 73 kilogram; smoking: Y=6)","paracetamol",1
"PKDB00150 / all (n=24; human; healthy; sex: M=8, F=16; smoking: N=24)","paracetamol",1
"PKDB00150 / Females (n=8; human; healthy; sex: F=8; age: mean 22.5 year; weight: mean 64.9 kilogram; smoking: N=24)","paracetamol",1
"PKDB00150 / Males (n=8; human; healthy; sex: M=8; age: mean 24.8 year; weight: mean 73.8 kilogram; smoking: N=24)","paracetamol",1
"PKDB00150 / OCS-Females (n=8; human; healthy; sex: F=8; age: mean 22.2 year; weight: mean 61.7 kilogram; smoking: N=24)","paracetamol",1
"PKDB00151 / patients (n=15; human; health NR; sex: M=12, F=3; age: mean 41 year; weight: mean 71 kilogram)","antipyrine",1
"PKDB00151 / patients (n=15; human; health NR; sex: M=12, F=3; age: mean 41 year; weight: mean 71 kilogram)","caffeine (137X)",1
"PKDB00151 / patients (n=15; human; health NR; sex: M=12, F=3; age: mean 41 year; weight: mean 71 kilogram)","paracetamol",1
"PKDB00151 / volunteers (n=12; human; health NR; sex: M=11, F=1; age: mean 31 year; weight: mean 67 kilogram)","antipyrine",1
"PKDB00151 / volunteers (n=12; human; health NR; sex: M=11, F=1; age: mean 31 year; weight: mean 67 kilogram)","caffeine (137X)",1
"PKDB00151 / volunteers (n=12; human; health NR; sex: M=11, F=1; age: mean 31 year; weight: mean 67 kilogram)","paracetamol",1
"PKDB00154 / 20to40 (n=10; human; healthy; sex: M=7, F=3; age: mean 27 year; weight: mean 81 kilogram; ethnicity: Caucasian; smoking: N=38, Y=2)","paracetamol",1
"PKDB00154 / 60to70 (n=10; human; healthy; sex: M=5, F=5; age: mean 66 year; weight: mean 83 kilogram; ethnicity: Caucasian; smoking: N=38, Y=2)","paracetamol",1
"PKDB00154 / 70to80 (n=10; human; healthy; sex: M=6, F=4; age: mean 77 year; weight: mean 82 kilogram; ethnicity: Caucasian; smoking: N=38, Y=2)","paracetamol",1
"PKDB00154 / 80to90 (n=10; human; healthy; sex: M=1, F=9; age: mean 84 year; weight: mean 68 kilogram; ethnicity: Caucasian; smoking: N=38, Y=2)","paracetamol",1
"PKDB00156 / all (n=3; human; healthy; sex: M=3; age: 24–36 year; weight: 62–85 kilogram)","L-cysteine",5
"PKDB00156 / all (n=3; human; healthy; sex: M=3; age: 24–36 year; weight: 62–85 kilogram)","paracetamol",2
"PKDB00156 / all (n=3; human; healthy; sex: M=3; age: 24–36 year; weight: 62–85 kilogram)","salicylamide",2
"PKDB00178 / all (n=6; human; healthy; sex: NR=6; age: 22–27 year; weight: 55–77 kilogram)","midazolam",4
"PKDB00178 / po10 (n=4; human; healthy; sex: NR=6; age: 22–27 year; weight: 55–77 kilogram)","midazolam",1
"PKDB00178 / po40 (n=2; human; healthy; sex: NR=6; age: 22–27 year; weight: 55–77 kilogram)","midazolam",1
"PKDB00195 / all (n=5; human; healthy; sex: M=5; age: mean 33.4 year; weight: mean 72.4 kilogram)","caffeine (137X)",1
"PKDB00195 / all (n=5; human; healthy; sex: M=5; age: mean 33.4 year; weight: mean 72.4 kilogram)","paracetamol",4
"PKDB00245 / all (n=9; human; healthy; sex: M=9; age: mean 29 year; weight: mean 74 kilogram; smoking: N=9)","alfentanil",1
"PKDB00245 / all (n=9; human; healthy; sex: M=9; age: mean 29 year; weight: mean 74 kilogram; smoking: N=9)","midazolam",1
"PKDB00245 / all (n=9; human; healthy; sex: M=9; age: mean 29 year; weight: mean 74 kilogram; smoking: N=9)","rifampicin",1
"PKDB00245 / all (n=9; human; healthy; sex: M=9; age: mean 29 year; weight: mean 74 kilogram; smoking: N=9)","troleandomycin",1
"PKDB00248 / all (n=8; human; healthy; sex: M=8; age: mean 27.7 year; weight: mean 70 kilogram; smoking: N=8)","midazolam",2
"PKDB00248 / all (n=8; human; healthy; sex: M=8; age: mean 27.7 year; weight: mean 70 kilogram; smoking: N=8)","rifampicin",1
"PKDB00249 / all (n=8; human; not healthy; disease: renal disease, cancer; sex: M=1, F=7; age: median 54 year)","grapefruit juice",1
"PKDB00249 / all (n=8; human; not healthy; disease: renal disease, cancer; sex: M=1, F=7; age: median 54 year)","midazolam",1
"PKDB00252 / all (n=12; human; healthy; sex: M=4, F=8; age: mean 30.8 year; ethnicity: Caucasian, Hispanic, african american, Asian; smoking: N=12)","grapefruit juice",2
"PKDB00252 / all (n=12; human; healthy; sex: M=4, F=8; age: mean 30.8 year; ethnicity: Caucasian, Hispanic, african american, Asian; smoking: N=12)","midazolam",1
"PKDB00323 / all (n=10; human; healthy; sex: M=6, F=4; age: 21–26 year; weight: mean 70.4 kilogram; ethnicity: Caucasian, Asian, Hispanic)","clotrimazole",1
"PKDB00323 / all (n=10; human; healthy; sex: M=6, F=4; age: 21–26 year; weight: mean 70.4 kilogram; ethnicity: Caucasian, Asian, Hispanic)","midazolam",2
"PKDB00325 / ambulant (n=13; human; healthy; sex: F=7, M=6)","midazolam",1
"PKDB00325 / supine (n=13; human; healthy; sex: F=7, M=6)","midazolam",1
"PKDB00427 / all (n=39; human; healthy; sex: F=27, M=12; smoking: Y=13, N=26)","caffeine (137X)",1
"PKDB00427 / normal (n=23; human; healthy; sex: F=16, M=7; age: mean 28 year; weight: mean 64 kilogram; smoking: Y=5, N=18)","caffeine (137X)",1
"PKDB00427 / obese (n=16; human; healthy; sex: F=11, M=5; age: mean 32 year; weight: mean 120 kilogram; smoking: Y=8, N=8)","caffeine (137X)",1
"PKDB00450 / saliva_plasma_group (n=6; human; health NR; sex: NR=13)","caffeine (137X)",1
"PKDB00484 / all (n=42; NR; health NR; sex: NR=42)","caffeine (137X)",1
